,loss,accuracy,val_loss,val_accuracy
0,0.0036694274749606848,0.07860127091407776,0.00365461315959692,0.08500365912914276
1,0.003604509634897113,0.10581503063440323,0.0035794128198176622,0.10958302766084671
2,0.0034840230364352465,0.16970396041870117,0.0033328712452203035,0.2598390579223633
3,0.003301833290606737,0.24973583221435547,0.0033926924224942923,0.2286759316921234
4,0.003194452729076147,0.28909337520599365,0.003121319692581892,0.3087051808834076
5,0.003117905929684639,0.3167622983455658,0.0031070762779563665,0.32406729459762573
6,0.0030596251599490643,0.3328564763069153,0.002962907776236534,0.3714703619480133
7,0.0030177519656717777,0.34573179483413696,0.0029772662092000246,0.35874176025390625
8,0.002979826647788286,0.3568026125431061,0.003017038805410266,0.34718361496925354
9,0.0029409152921289206,0.3705558180809021,0.0031510975677520037,0.29275786876678467
