,loss,accuracy,val_loss,val_accuracy
0,0.006034937687218189,0.08209646493196487,0.003652486950159073,0.0819312334060669
1,0.0036539786960929632,0.08209646493196487,0.0036525612231343985,0.08207754045724869
2,0.0036541398148983717,0.08107229322195053,0.0036529870703816414,0.08207754045724869
3,0.003654183354228735,0.08277925103902817,0.0036536867264658213,0.0819312334060669
4,0.0036542662419378757,0.08342951536178589,0.0036531148944050074,0.0795903429389
5,0.0036591736134141684,0.08190138638019562,0.0036529391072690487,0.08207754045724869
6,0.003654167056083679,0.08464877307415009,0.003652917919680476,0.0795903429389
7,0.003676456632092595,0.08331572264432907,0.0036534597165882587,0.08207754045724869
8,0.0036542857997119427,0.08248662948608398,0.0036526313051581383,0.08207754045724869
9,0.003654217580333352,0.08225903660058975,0.003652516519650817,0.0795903429389
